Year,Role,Fatalities
1996,Cyclist,6
1996,Car Driver,235
1996,Other,7
1996,Pedestrian,71
1996,Car Passenger,150
1997,Cyclist,8
1997,Car Driver,231
1997,Other,5
1997,Pedestrian,50
1997,Car Passenger,135
1998,Cyclist,10
1998,Car Driver,226
1998,Other,12
1998,Pedestrian,65
1998,Car Passenger,116
1999,Cyclist,9
1999,Car Driver,227
1999,Other,6
1999,Pedestrian,64
1999,Car Passenger,103
2000,Cyclist,3
2000,Car Driver,225
2000,Other,8
2000,Pedestrian,53
2000,Car Passenger,107
2001,Cyclist,3
2001,Car Driver,231
2001,Other,4
2001,Pedestrian,54
2001,Car Passenger,102
2002,Cyclist,6
2002,Car Driver,274
2002,Other,3
2002,Pedestrian,40
2002,Car Passenger,134
2003,Cyclist,6
2003,Car Driver,214
2003,Other,10
2003,Pedestrian,74
2003,Car Passenger,144
2004,Cyclist,8
2004,Car Driver,264
2004,Other,2
2004,Pedestrian,74
2004,Car Passenger,92
2005,Cyclist,7
2005,Car Driver,268
2005,Other,6
2005,Pedestrian,66
2005,Car Passenger,105
2006,Cyclist,12
2006,Car Driver,231
2006,Other,0
2006,Pedestrian,65
2006,Car Passenger,94
2007,Cyclist,10
2007,Car Driver,241
2007,Other,1
2007,Pedestrian,72
2007,Car Passenger,87
2008,Cyclist,9
2008,Car Driver,214
2008,Other,3
2008,Pedestrian,56
2008,Car Passenger,72
2009,Cyclist,10
2009,Car Driver,223
2009,Other,3
2009,Pedestrian,58
2009,Car Passenger,69
2010,Cyclist,6
2010,Car Driver,207
2010,Other,1
2010,Pedestrian,58
2010,Car Passenger,92
2011,Cyclist,7
2011,Car Driver,161
2011,Other,2
2011,Pedestrian,57
2011,Car Passenger,65
2012,Cyclist,11
2012,Car Driver,145
2012,Other,1
2012,Pedestrian,65
2012,Car Passenger,59
2013,Cyclist,13
2013,Car Driver,149
2013,Other,6
2013,Pedestrian,52
2013,Car Passenger,49
